length	mean	std
1	0.0	0.0
2	0.0	0.0
3	0.0	0.0
4	0.0	0.0
5	0.0	0.0
6	0.0	0.0
7	0.0	0.0
8	-0.00014801025611177465	0.004954265241875324
9	-0.007307434086754938	0.08397896661742056
10	-0.02423999991118908	0.16710602034014904
11	-0.0589200000077486	0.27735254284393135
12	-0.13835999981164931	0.5256886042741871
13	-0.22492000024616718	0.6288521227371858
14	-0.34676000028550624	0.815741073803364
15	-0.50255999943614	1.0441615966222288
16	-0.6702800010621548	1.2315911336279537
17	-0.7671199999243021	1.2691221010226428
18	-1.0183599993348122	1.4644271574882168
19	-1.1768399992614984	1.5676771393795736
20	-1.370199998691678	1.7222531622141988
21	-1.6269999975055456	1.863329002622603
22	-1.7825599990397691	1.8691708975862067
23	-2.0727199994057415	2.0336941277990914
24	-2.3228399989515545	2.1805362528042207
25	-2.5529599980175495	2.282289030145558
26	-2.747640000757575	2.342630661650814
27	-2.925720001345873	2.3125930247039617
28	-3.291000002837181	2.5207449367683945
29	-3.478639999958873	2.5213345179670466
30	-3.6647599991708995	2.659653011913971
31	-3.959480001464486	2.7031733485795213
32	-4.322959998980164	2.7176874099182498
33	-4.512600000911951	2.823403131260591
34	-4.757440003278852	2.9013632428197114
35	-5.035400005471707	2.920861329879251
36	-5.301199999770522	2.9158666900131176
37	-5.49879999885261	3.0575098610780493
38	-5.687680004099011	3.0357602412844713
39	-6.100279997292161	3.1501206250024327
40	-6.259000004261732	3.284330531986358
41	-6.634239998707176	3.3335476004157347
42	-6.937880004000664	3.3896278770608235
43	-7.182120005297661	3.3282698717356487
44	-7.383560000932216	3.4346746219997204
45	-7.546040001931787	3.4278349346401704
46	-7.970267994192243	3.5785162778064734
47	-8.091560003298522	3.5626423888846115
48	-8.44697600262165	3.7284028064474697
49	-8.643100001606346	3.7080894172386167
50	-8.926328000316024	3.7030523884450677
51	-9.29046800892651	3.726849922173926
52	-9.374288010928035	3.7945016012366772
53	-9.829296003332734	3.91774138854806
54	-10.128508014923334	3.8352741424479264
55	-10.428792003980279	3.935031020468823
56	-10.653879995679855	3.9988014232368267
57	-10.816616002705693	3.964698196698865
58	-10.964592000436783	4.0198018375251285
59	-11.410776006317139	4.0853802246563475
60	-11.894639997577666	4.161092560489452
61	-12.016507993617655	4.174994585994437
62	-12.147320005995034	4.221241152383543
63	-12.51250000026226	4.254590404004759
64	-12.910375994610787	4.32282419086011
65	-13.02172799448967	4.400088374803448
66	-13.38585599771738	4.4213384360586065
67	-13.57290798059702	4.435875740055207
68	-13.798359993767738	4.422243923960695
69	-14.156399992322921	4.412162622930819
70	-14.280435982990264	4.463169098001959
71	-14.79996800956726	4.540212536857428
72	-15.046727996253967	4.672553012150946
73	-15.338684003257752	4.589755881489548
74	-15.598684009218216	4.682940041078187
75	-15.829747992420197	4.663206294438215
76	-16.221795998096464	4.794891239596841
77	-16.46431200065613	4.790833219321424
78	-16.7637759970665	4.7350730954103515
79	-17.006167999839782	4.826083370819057
80	-17.425200012302398	4.784905948004283
81	-17.598924027466776	4.960023211263562
82	-17.97313602027893	4.960800336786727
83	-18.156271989154817	4.938910103862116
84	-18.3302440202713	5.023190930719971
85	-18.895739984416963	5.175475779977874
86	-18.94826001186371	4.983218399860656
87	-19.243372016239167	5.065167495078485
88	-19.724231986045837	5.045271416157671
89	-19.900972008514405	5.140326157231704
90	-19.988059985256196	5.1130831394015575
91	-20.53109602012634	5.217960762925501
92	-20.70509600429535	5.253568800417546
93	-20.95370800266266	5.2733147596972465
94	-21.328235991287233	5.408584731420832
95	-21.634056003189087	5.267134122787067
96	-21.881259996604918	5.355691398170846
97	-22.11525600414276	5.298809309939942
98	-22.459675998306274	5.30743524263722
99	-22.759743980026244	5.348438188351535
100	-22.991539995002746	5.587168075151033
101	-23.5364000084877	5.4352850115889195
102	-23.549520001220703	5.710676362172712
103	-24.010975979423524	5.625445347848959
104	-24.216199995040892	5.693260349986693
105	-24.696471999740602	5.632105711409111
106	-24.893512003517152	5.625459574124162
107	-25.227096000480653	5.770469251174087
108	-25.30081199874878	5.674309149243394
109	-25.862575983428954	5.7434969331411665
110	-26.029287995910643	5.801291490223573
111	-26.458803989410402	5.800615818659652
112	-26.69019998779297	5.934736178365193
113	-27.03977600402832	5.865828484884645
114	-27.280936009597777	5.794439395862606
115	-27.49192798690796	5.885131950163177
116	-27.706579992103578	5.882449666259788
117	-27.861451971435546	5.954769934668929
118	-28.307323970413208	5.97200473604181
119	-28.51333199081421	6.229952633332056
120	-29.04360800552368	6.1242259273637565
121	-29.055283976364137	5.9735413221325135
122	-29.564264002990722	6.187853041389713
123	-29.703640002059938	6.1307166684536
124	-30.11180800666809	6.147758731052212
125	-30.52799599571228	6.049093942080365
126	-30.718243997573854	6.179433844407058
127	-31.138940009689332	6.251374669168064
128	-31.101844023513795	6.158379616436905
129	-31.7941319934845	6.523374180638993
130	-31.963251976394652	6.06616666509655
131	-32.37188000221253	6.2742310878254814
132	-32.6050320022583	6.220371826492378
133	-32.92642800636291	6.381672465529797
134	-32.937531978988645	6.288014743625965
135	-33.27932794876099	6.4589477607560575
136	-33.81728402328491	6.434703995090705
137	-33.98222797279358	6.383933919930777
138	-34.49311597671509	6.446132815958201
139	-34.58944798202515	6.2926679718330485
140	-34.813895977783204	6.517421528811129
141	-35.445248000335695	6.594306908104605
142	-35.44021999893189	6.543304331380667
143	-35.78293199195862	6.483305133612069
144	-35.859479984664915	6.71157463120458
145	-36.34639199447632	6.652442625319243
146	-36.699979999923706	6.596358540215252
147	-37.00736001968384	6.72297514033259
148	-37.07409998588562	6.554831964857862
149	-37.630411982727054	6.8071492174170345
